Variable_name	Value
enable_subfield_no_copy	true
enable_sync_materialized_view_rewrite	true
enable_table_name_case_insensitive	false
enable_table_prune_on_update	false
enable_tablet_internal_parallel	true
enable_tde	false
enable_topn_runtime_filter	true
enable_ukfk_join_reorder	false
enable_ukfk_opt	false
enable_view_based_mv_rewrite	true
enable_wait_dependent_event	false
enable_write_hive_external_table	false
event_scheduler	OFF
force_schedule_local	false
forward_to_leader	false
full_sort_late_materialization	true
group_concat_max_len	1024
group_execution_group_scale	64
group_execution_max_groups	128
group_execution_min_scan_rows	5000000
hash_join_push_down_right_table	true
historical_nodes_min_update_interval	600
hive_partition_stats_sample_size	3000
hive_temp_staging_dir	/tmp/starrocks
hudi_mor_force_jni_reader	false
init_connect	
innodb_read_only	true
insert_local_shuffle_for_window_pre_agg	true
insert_max_filter_ratio	0.0
insert_timeout	14400
interactive_timeout	3600
interleaving_group_size	10
io_tasks_per_scan_operator	4
jit_level	1
join_implementation_mode_v2	auto
join_late_materialization	false
join_reorder_driving_table_max_element	5
k_factor	1.0
lake_bucket_assign_mode	balance
language	/starrocks/share/english/
large_decimal_underlying_type	panic
license	Apache License 2.0
like_predicate_consolidate_min	2
load_mem_limit	0
load_transmission_compression_type	NO_COMPRESSION
log_rejected_record_num	0
low_cardinality_optimize_on_lake	false
low_cardinality_optimize_v2	true
lower_case_table_names	0
lower_upper_support_utf8	false
materialized_view_max_relation_mapping_size	10
materialized_view_rewrite_mode	DEFAULT
materialized_view_subuqery_text_match_max_count	4
materialized_view_union_rewrite_mode	0
max_allowed_packet	33554432
max_or_to_union_all_join_predicates	3
max_parallel_scan_instance_num	-1
max_pipeline_dop	64
max_pushdown_conditions_per_column	-1
max_scan_key_num	-1
metadata_collect_query_timeout	60
nested_mv_rewrite_max_level	3
net_buffer_length	16384
net_read_timeout	60
net_write_timeout	60
new_planner_agg_stage	0
new_planner_optimize_timeout	3000
optimizer_materialized_view_timelimit	1000
orc_use_column_names	false
paimon_force_jni_reader	false
parallel_exchange_instance_num	-1
parallel_fragment_exec_instance_num	1
parallel_merge_late_materialization_mode	auto
parse_tokens_limit	3500000
partial_update_mode	auto
performance_schema	false
phased_scheduler_max_concurrency	2
pipeline_dop	0
pipeline_profile_level	1
pipeline_sink_dop	0
plan_capture_include_pattern	.*
plan_capture_interval_seconds	10800
plan_mode	auto
populate_datacache_mode	auto
pq_refine_factor	1.0
prefer_compute_node	false
query_cache_agg_cardinality_limit	5000000
query_cache_entry_max_bytes	4194304
query_cache_entry_max_rows	409600
query_cache_force_populate	false
query_cache_hot_partition_num	3
query_cache_size	1048576
query_cache_type	0
query_delivery_timeout	300
query_history_keep_seconds	259200
query_history_load_interval_seconds	900
query_mem_limit	0
query_queue_concurrency_limit	0
query_queue_cpu_used_permille_limit	0
query_queue_driver_high_water	-1
query_queue_driver_low_water	-1
query_queue_fresh_resource_usage_interval_ms	5000
query_queue_max_queued_queries	1024
query_queue_mem_used_pct_limit	0.0
query_queue_pending_timeout_second	300
query_timeout	300
range_pruner_max_predicate	100
resource_group	
runtime_filter_on_exchange_node	false
runtime_join_filter_push_down_limit	1024000
runtime_profile_report_interval	10
scan_hive_partition_num_limit	0
scan_olap_partition_num_limit	0
scan_use_query_mem_ratio	0.3
semi_join_deduplicat_mode	0
skip_local_disk_cache	false
skip_page_cache	false
spill_enable_direct_io	false
spill_encode_level	7
spill_mode	auto
spill_partitionwise_agg	false
spill_revocable_max_bytes	0
spill_storage_volume	
sql_dialect	StarRocks
sql_mode	ONLY_FULL_GROUP_BY
sql_quote_show_create	true
sql_safe_updates	0
sql_select_limit	9223372036854775807
storage_engine	olap
streaming_preaggregation_mode	auto
system_time_zone	Asia/Shanghai
thrift_plan_protocol	binary
time_zone	Asia/Shanghai
topn_filter_back_pressure_mode	0
transaction_isolation	REPEATABLE-READ
transaction_read_only	false
transmission_compression_type	AUTO
transmission_encode_level	7
tx_isolation	REPEATABLE-READ
tx_visible_wait_timeout	10
use_compute_nodes	-1
use_page_cache	true
version	8.0.33
version_comment	4.0.0-dccb665
wait_timeout	28800
warehouse	default_warehouse
